domain,prompt_id,context_position,top_k,temperature_ratio,seed,moment4_tail_tv,moment4_partition_abs_error,moment4_certificate_bound,moment4_certificate_relative_to_true_partition,moment4_bound_to_error_ratio,uniform_tail_tv,moment4_certified,sample6_tail_tv,cache_budget_bytes
ordinary,0,30,32,1.1,20260926,0.000151205624083,0.000183979147769,0.00292926677503,0.0782962441444,15.9217319489,0.0204445466241,1,0.0288437562628,24
ordinary,1,1,8,0.9,20260924,0.000533970050542,0.000489016497663,0.0248636379838,2.64599871635,50.8441734314,0.00538603342781,1,0.0103685228246,24
ordinary,1,1,8,0.9,20260925,0.000533970050542,0.000489016497663,0.0248636379838,2.64599871635,50.8441734314,0.00538603342781,1,0.0103670139989,24
ordinary,1,1,8,0.9,20260926,0.000533970050542,0.000489016497663,0.0248636379838,2.64599871635,50.8441734314,0.00538603342781,1,0.0102883503139,24
ordinary,1,1,8,1.1,20260924,0.000243865860684,0.000288085455938,0.00466001825407,0.0755756050348,16.175819397,0.0353658852455,1,0.0549186328551,24
ordinary,1,1,8,1.1,20260925,0.000243865860684,0.000288085455938,0.00466001825407,0.0755756050348,16.175819397,0.0353658852455,1,0.0548792902992,24
ordinary,1,1,8,1.1,20260926,0.000243865860684,0.000288085455938,0.00466001825407,0.0755756050348,16.175819397,0.0353658852455,1,0.0520005431191,24
ordinary,1,1,32,0.9,20260924,0.000496960119364,0.000452130421983,0.02317497693,6.61906862259,51.2572822571,0.00167806544025,1,0.00384483886548,24
ordinary,1,1,32,0.9,20260925,0.000496960119364,0.000452130421983,0.02317497693,6.61906862259,51.2572822571,0.00167806544025,1,0.0038310234455,24
ordinary,1,1,32,0.9,20260926,0.000496960119364,0.000452130421983,0.02317497693,6.61906862259,51.2572822571,0.00167806544025,1,0.00379614196822,24
ordinary,1,1,32,1.1,20260924,0.000234752084559,0.000270676733406,0.00434352084994,0.121454723179,16.0468940735,0.0152998002963,1,0.0310891580509,24
ordinary,1,1,32,1.1,20260925,0.000234752084559,0.000270676733406,0.00434352084994,0.121454723179,16.0468940735,0.0152998002963,1,0.0307593128463,24
ordinary,1,1,32,1.1,20260926,0.000234752084559,0.000270676733406,0.00434352084994,0.121454723179,16.0468940735,0.0152998002963,1,0.0297582049641,24
ordinary,1,5,8,0.9,20260924,0.00148708201401,0.00158226061057,0.100742809474,0.393664717674,63.670173645,0.160166954995,1,0.266408911237,24
ordinary,1,5,8,0.9,20260925,0.00148708201401,0.00158226061057,0.100742809474,0.393664717674,63.670173645,0.160166954995,1,0.374485596242,24
ordinary,1,5,8,0.9,20260926,0.00148708201401,0.00158226061057,0.100742809474,0.393664717674,63.670173645,0.160166954995,1,0.405545305952,24
ordinary,1,5,8,1.1,20260924,0.000230784713883,0.000837928797544,0.0179579053074,0.0202868264169,21.4313030243,0.129544434558,1,0.311079175049,24
ordinary,1,5,8,1.1,20260925,0.000230784713883,0.000837928797544,0.0179579053074,0.0202868264169,21.4313030243,0.129544434558,1,0.358491603686,24
ordinary,1,5,8,1.1,20260926,0.000230784713883,0.000837928797544,0.0179579053074,0.0202868264169,21.4313030243,0.129544434558,1,0.574115928476,24
ordinary,1,5,32,0.9,20260924,0.00190607960771,0.00151796431714,0.0970413908362,0.746369421482,63.9286384583,0.0896455961968,1,0.205135627799,24
ordinary,1,5,32,0.9,20260925,0.00190607960771,0.00151796431714,0.0970413908362,0.746369421482,63.9286384583,0.0896455961968,1,0.205799811888,24
ordinary,1,5,32,0.9,20260926,0.00190607960771,0.00151796431714,0.0970413908362,0.746369421482,63.9286384583,0.0896455961968,1,0.205630754082,24
ordinary,1,5,32,1.1,20260924,0.000335043796591,0.000810224435464,0.0172980539501,0.030714020133,21.3497066498,0.126801888079,1,0.354696877624,24
ordinary,1,5,32,1.1,20260925,0.000335043796591,0.000810224435464,0.0172980539501,0.030714020133,21.3497066498,0.126801888079,1,0.361859058336,24
ordinary,1,5,32,1.1,20260926,0.000335043796591,0.000810224435464,0.0172980539501,0.030714020133,21.3497066498,0.126801888079,1,0.360562815323,24
ordinary,1,9,8,0.9,20260924,0.00109555584115,0.00101512937138,0.0615258663893,0.457145571709,60.6088905334,0.0900153561395,1,0.176133776036,24
ordinary,1,9,8,0.9,20260925,0.00109555584115,0.00101512937138,0.0615258663893,0.457145571709,60.6088905334,0.0900153561395,1,0.173121495106,24
ordinary,1,9,8,0.9,20260926,0.00109555584115,0.00101512937138,0.0615258663893,0.457145571709,60.6088905334,0.0900153561395,1,0.176506437388,24
ordinary,1,9,8,1.1,20260924,0.000267624939477,0.000547190137342,0.0110839586705,0.0237415060401,20.2561378479,0.151056984621,1,0.342260052496,24
ordinary,1,9,8,1.1,20260925,0.000267624939477,0.000547190137342,0.0110839586705,0.0237415060401,20.2561378479,0.151056984621,1,0.304897941876,24
ordinary,1,9,8,1.1,20260926,0.000267624939477,0.000547190137342,0.0110839586705,0.0237415060401,20.2561378479,0.151056984621,1,0.348537940451,24
ordinary,1,9,32,0.9,20260924,0.00118518283725,0.000951944863116,0.0580753646791,1.51690101624,61.007068634,0.023932951568,1,0.0502478526758,24
ordinary,1,9,32,0.9,20260925,0.00118518283725,0.000951944863116,0.0580753646791,1.51690101624,61.007068634,0.023932951568,1,0.0496400938053,24
ordinary,1,9,32,0.9,20260926,0.00118518283725,0.000951944863116,0.0580753646791,1.51690101624,61.007068634,0.023932951568,1,0.0502343752393,24
ordinary,1,9,32,1.1,20260924,0.000329975858891,0.000519689458137,0.0104623036459,0.0495683476329,20.1318378448,0.0798226702128,1,0.159202010603,24
ordinary,1,9,32,1.1,20260925,0.000329975858891,0.000519689458137,0.0104623036459,0.0495683476329,20.1318378448,0.0798226702128,1,0.147491410685,24
ordinary,1,9,32,1.1,20260926,0.000329975858891,0.000519689458137,0.0104623036459,0.0495683476329,20.1318378448,0.0798226702128,1,0.158744391705,24
ordinary,1,13,8,0.9,20260924,0.00096052053615,0.000863579857114,0.0401456728578,0.424850910902,46.4875030518,0.0633005663817,1,0.119472926936,24
ordinary,1,13,8,0.9,20260925,0.00096052053615,0.000863579857114,0.0401456728578,0.424850910902,46.4875030518,0.0633005663817,1,0.119454639762,24
ordinary,1,13,8,0.9,20260926,0.00096052053615,0.000863579857114,0.0401456728578,0.424850910902,46.4875030518,0.0633005663817,1,0.11948007487,24
ordinary,1,13,8,1.1,20260924,0.000271310924916,0.000475020689339,0.00760228047147,0.0220164824277,16.0041027069,0.13944838814,1,0.269272080169,24
ordinary,1,13,8,1.1,20260925,0.000271310924916,0.000475020689339,0.00760228047147,0.0220164824277,16.0041027069,0.13944838814,1,0.268583356366,24
ordinary,1,13,8,1.1,20260926,0.000271310924916,0.000475020689339,0.00760228047147,0.0220164824277,16.0041027069,0.13944838814,1,0.269470476241,24
